Week Start,Week End,Category,Transaction Count,Transaction Value SAR,Average Ticket SAR
2025-10-19,2025-10-25,Construction & Building Materials,2159000,384622000,178.14821676702178
2025-10-19,2025-10-25,Education,196000,103863000,529.9132653061224
2025-10-19,2025-10-25,Electronic & Electric Devices,1646000,171312000,104.07776427703524
2025-10-19,2025-10-25,Food & Beverages,49750000,1789377000,35.96737688442211
2025-10-19,2025-10-25,Furniture & Home Supplies,2137000,431487000,201.91249415067853
2025-10-19,2025-10-25,Gas Stations,16671000,897830000,53.85579749265191
2025-10-19,2025-10-25,Health,9466000,774100000,81.77688569617578
2025-10-19,2025-10-25,Hotels,689000,311201000,451.67053701015965
2025-10-19,2025-10-25,Jewelry,252000,390688000,1550.3492063492063
2025-10-19,2025-10-25,Laundry Services,2540000,42575000,16.761811023622048
2025-10-19,2025-10-25,Others,36171000,1843263000,50.95969146553869
2025-10-19,2025-10-25,Professional & Business Services,10157000,636526000,62.66870138820518
2025-10-19,2025-10-25,Public Utilities & Services,699000,44438000,63.57367668097282
2025-10-19,2025-10-25,Recreation & Culture,3824000,268533000,70.22306485355648
2025-10-19,2025-10-25,Restaurants & Cafés,53044000,1452342000,27.37994872181585
2025-10-19,2025-10-25,Telecommunication,3832000,150761000,39.34264091858038
2025-10-19,2025-10-25,Transportation,5090000,922375000,181.213163064833
2025-10-26,2025-11-01,"Apparel, Clothing & Accessories",11132000,1366858000,122.78638160258714
2025-10-26,2025-11-01,Bakeries & Pastries,8228000,310322000,37.71536217792902
2025-10-26,2025-11-01,Construction & Building Materials,2584000,440526000,170.48219814241486
2025-10-26,2025-11-01,Education,220000,189444000,861.1090909090909
2025-10-26,2025-11-01,Electronic & Electric Devices,2034000,220197000,108.25811209439529
2025-10-26,2025-11-01,Food & Beverages,57361000,2664509000,46.45157859869946
2025-10-26,2025-11-01,Furniture & Home Supplies,2947000,605721000,205.53817441465898
2025-10-26,2025-11-01,Gas Stations,19093000,1116062000,58.453988372702035
2025-10-26,2025-11-01,Health,11847000,1017132000,85.8556596606736
2025-10-26,2025-11-01,Hotels,841000,376005000,447.0927467300832
2025-10-26,2025-11-01,Jewelry,325000,418480000,1287.6307692307691
2025-10-26,2025-11-01,Laundry Services,3285000,69522000,21.163470319634705
2025-10-26,2025-11-01,Others,43600000,2681891000,61.51126146788991
2025-10-26,2025-11-01,Professional & Business Services,12534000,870608000,69.45970958991543
2025-10-26,2025-11-01,Public Utilities & Services,848000,58925000,69.4870283018868
